id,nombre,horasTrabajadas,sueldo
24320,,23040,9472000
24576,,19200,3840000
24832,,22528,12800000
25088,,30720,7680000
25344,,23040,12800000
25600,,22528,2560000
25856,,22528,2560000
26112,,22528,2560000
26368,,30720,6400000
26624,,23040,8448000
26880,,30720,10752000
27136,,19200,2560000
27392,,46080,2560000
27648,,56320,2560000
27904,,83200,10752000
28160,,19200,7680000
28416,,30720,3840000
28672,,19200,7680000
28928,,23040,3840000
29184,,46080,3072000
29440,,56320,12800000
29696,,19200,5120000
29952,,46080,8448000
30208,,15360,3072000
30464,,56320,9472000
30720,,56320,6400000
30976,,15360,3840000
31232,,22528,7680000
31488,,83200,5120000
31744,,15360,4608000
32000,,22528,3840000
32256,,83200,3840000
32512,,15360,3072000
32768,,19200,7680000
33024,,22528,10752000
33280,,19200,2560000
33536,,19200,8448000
33792,,15360,7680000
34048,,30720,4608000
34304,,56320,12800000
34560,,83200,5120000
34816,,46080,3840000
35072,,56320,2560000
35328,,19200,12800000
35584,,22528,10752000
35840,,30720,10752000
36096,,15360,4608000
36352,,22528,7680000
36608,,15360,6400000
36864,,23040,8448000
37120,,23040,5120000
37376,,15360,3840000
37632,,46080,10752000
37888,,46080,3072000
38144,,83200,6400000
38400,,46080,4608000
38656,,56320,3072000
38912,,30720,3840000
39168,,23040,10752000
39424,,15360,6400000
39680,,30720,10752000
39936,,83200,10752000
40192,,15360,3072000
40448,,15360,10752000
40704,,23040,3840000
40960,,83200,12800000
41216,,30720,3840000
41472,,23040,12800000
41728,,56320,3840000
41984,,30720,7680000
42240,,15360,8448000
42496,,56320,10752000
42752,,15360,3840000
43008,,15360,4608000
43264,,83200,3072000
43520,,15360,6400000
43776,,46080,9472000
44032,,83200,8448000
44288,,23040,4608000
44544,,15360,7680000
44800,,22528,12800000
45056,,83200,7680000
45312,,19200,2560000
45568,,19200,12800000
45824,,23040,5120000
46080,,83200,3840000
46336,,15360,9472000
46592,,22528,6400000
46848,,83200,7680000
